ID;hammer_length_mm;hammer_width_mm;hammer_thickness_mm;hammer_weight_g;species;from
B178M1;59.8;33.2;25.93;47;syagrus;masters
B17M1;62.0;23.67;22.67;59;syagrus;masters
B122M2;60.5;46.17;21.5;75;syagrus;masters
B108M1;54.8;38;28.23;76;syagrus;masters
B178M2;68.8;42.4;22.3;81;syagrus;masters
B190M1;46.7;27.33;33.83;84;syagrus;masters
B121M1;54.4;40.3;32.6;89;syagrus;masters
B156M1;62.9;47.43;21.97;98;syagrus;masters
B156M2;64.9;30.47;26.33;99;syagrus;masters
B3M1;50;34.33;45.33;105;syagrus;masters
B135M2;72.6;42.33;31;114;syagrus;masters
B107M1;64.3;47.6;40.1;116;syagrus;masters
B73M3;64.5;39.63;34.4;119;syagrus;masters
B154M1;74.2;37.47;34.47;126;syagrus;masters
B173M2;87.2;50.97;24.57;127;syagrus;masters
B205M2;72.6;55.43;29.53;127;syagrus;masters
B19M1;63;48;38.67;128;syagrus;masters
B43M1;57.2;49.73;31.83;129;syagrus;masters
B136M1;96.1;53.83;23.93;133;syagrus;masters
B52M2;63.8;45.2;32.87;134;syagrus;masters
B10M1;148;43.67;41;136;syagrus;masters
B53M1;74.9;33.03;31.73;139;syagrus;masters
B243M2;69.3;41;32.8;144;syagrus;masters
B153M3;83.7;38.3;29.8;146;syagrus;masters
B279M1;78.4;57.77;31.47;148;syagrus;masters
B11M1;180;130.33;40;152;syagrus;masters
B177M2;82.6;67.77;31.2;153;syagrus;masters
B113M1;70.2;38.5;33.33;158;syagrus;masters
B10M2;52;46.33;29.33;162;syagrus;masters
B210M2;73.9;49.17;29.73;163;syagrus;masters
B147M2;73.1;41.17;38.8;169;syagrus;masters
B271M1;59;46.67;38.13;170;syagrus;masters
B247M1;58.1;47.6;34.27;171;syagrus;masters
B161M3;84.9;38.8;47.1;172;syagrus;masters
B37M2;70;47.93;30.1;172;syagrus;masters
B155M1;89.7;55.87;22.87;174;syagrus;masters
B192M1;72.5;47.6;40;175;syagrus;masters
B280M2;75;57.43;40.87;177;syagrus;masters
B169M1;83.9;59.47;25.27;177;syagrus;masters
B132M1;101.4;39.1;24.97;179;syagrus;masters
B246M1;82;41.27;47.6;179;syagrus;masters
B185M2;77;55.87;50.9;180;syagrus;masters
B150M1;82.9;39.23;32.1;182;syagrus;masters
B174M1;77.6;41.73;39.3;182;syagrus;masters
B200M1;95.2;53.07;22.9;185;syagrus;masters
B159M1;63.1;43.17;40.5;187;syagrus;masters
B128M3;76.3;44.33;47.87;188;syagrus;masters
B80M1;81.9;36.2;40.93;188;syagrus;masters
B89M2;67.5;40.47;36.23;190;syagrus;masters
B169M2;81.3;50.37;41.8;190;syagrus;masters
B130M1;58.3;52.2;34.2;191;syagrus;masters
