species_nut;code;weight_g;maximum_load_n;rupture_force_n;hole;species_clean
terminalia_catappa;1;2.259;1505;925;0;terminalia_catappa
terminalia_catappa;2;2.063;990;930;0;terminalia_catappa
terminalia_catappa;3;1.148;640;930;0;terminalia_catappa
terminalia_catappa;4;1.299;320;930;0;terminalia_catappa
terminalia_catappa;5;3.066;7910;930;0;terminalia_catappa
terminalia_catappa;6;2.742;1030;935;0;terminalia_catappa
terminalia_catappa;7;2.408;245;925;0;terminalia_catappa
terminalia_catappa;8;2.79;545;930;0;terminalia_catappa
terminalia_catappa;9;2.88;705;930;0;terminalia_catappa
terminalia_catappa;10;3.533;730;930;0;terminalia_catappa
terminalia_catappa;11;5.342;16765;3330;0;terminalia_catappa
terminalia_catappa;12;4.518;14710;910;0;terminalia_catappa
terminalia_catappa;13;2.668;760;930;0;terminalia_catappa
terminalia_catappa;14;4.311;1215;910;0;terminalia_catappa
terminalia_catappa;15;2.032;2760;920;0;terminalia_catappa
terminalia_catappa;16;3.336;5430;815;0;terminalia_catappa
terminalia_catappa;17;4.521;890;930;0;terminalia_catappa
terminalia_catappa;18;3.356;1120;930;0;terminalia_catappa
terminalia_catappa;19;4.097;6290;890;0;terminalia_catappa
terminalia_catappa;20;5.429;11850;1645;0;terminalia_catappa
terminalia_catappa;21;4.813;1595;930;0;terminalia_catappa
terminalia_catappa;22;3.651;375;930;0;terminalia_catappa
terminalia_catappa;23;5.067;15125;630;0;terminalia_catappa
terminalia_catappa;24;5.697;990;930;0;terminalia_catappa
terminalia_catappa;25;5.127;1925;890;0;terminalia_catappa
terminalia_catappa;26;4.186;9275;2010;0;terminalia_catappa
terminalia_catappa;27;4.933;1060;930;0;terminalia_catappa
terminalia_catappa;28;2.302;1205;925;0;terminalia_catappa
terminalia_catappa;29;5.294;1835;920;0;terminalia_catappa
terminalia_catappa;30;4.943;1230;905;0;terminalia_catappa
syagrus_romanzoffiana_hole;1;0.758;580;930;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;2;0.869;840;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;3;1.275;225;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;4;1.171;715;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;5;0.868;490;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;6;0.881;610;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;7;1.208;680;680;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;8;1.545;260;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;9;1.288;495;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;10;1.781;510;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;11;1.899;55;55;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;12;1.902;305;315;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;13;1.244;695;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;14;1.268;655;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;15;1.276;375;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;16;2.031;100;100;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;17;1.931;220;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;18;1.178;585;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;19;1.46;305;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;20;1.075;730;925;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;21;0.993;730;930;1;syagrus_romanzoffiana
syagrus_romanzoffiana_hole;22;2.014;80;925;1;syagrus_romanzoffiana
